event_time_microseconds	\'r1\'	table	event_type	merge_reason	disk_name	part_name	rows	size_in_bytes	duration_ms	cpu_us	put	get	copy	s3_written	error
2026-09-25 22:36:57.150581	r1	t_zc	MergePartsStart	RegularMerge		20260925_0_9_2	0	0	0	0	0	0	0	0	0
2026-09-25 22:36:57.172172	r1	t_own	MergeParts	RegularMerge	s3_own	20260925_0_5_1	180000	15565985	2819	1351485	0	425	0	15574066	0
2026-09-25 22:36:59.139863	r1	t_zc	MergeParts	RegularMerge	s3_zc	20260925_0_9_2	300000	25731640	2010	1251986	0	386	0	25739727	0
2026-09-25 22:36:59.637822	r1	t_own	MergePartsStart	RegularMerge		20260925_0_9_2	0	0	0	0	0	0	0	0	0
2026-09-25 22:37:01.971029	r1	t_own	MergeParts	RegularMerge	s3_own	20260925_0_9_2	300000	25748613	2333	1266771	0	386	0	25756702	0
event_time_microseconds	\'r2\'	table	event_type	merge_reason	disk_name	part_name	rows	size_in_bytes	duration_ms	cpu_us	put	get	copy	s3_written	error
2026-09-25 22:26:15.904341	r2	t_zc	DownloadPart	NotAMerge	default	20260925_0_0_0	30000	2698195	26	0	0	0	0	0	0
2026-09-25 22:26:16.069154	r2	t_own	DownloadPart	NotAMerge	default	20260925_0_0_0	30000	2698619	22	0	0	0	0	0	0
2026-09-25 22:26:16.193450	r2	t_zc	DownloadPart	NotAMerge	default	20260925_1_1_0	30000	2698400	25	0	0	0	0	0	0
2026-09-25 22:26:16.320004	r2	t_own	DownloadPart	NotAMerge	default	20260925_1_1_0	30000	2697695	26	0	0	0	0	0	0
2026-09-25 22:26:16.433251	r2	t_zc	DownloadPart	NotAMerge	default	20260925_2_2_0	30000	2698139	27	0	0	0	0	0	0
2026-09-25 22:26:16.529903	r2	t_zc	MovePart	NotAMerge		20260925_2_2_0	0	0	35	0	0	0	0	0	0
2026-09-25 22:26:16.604013	r2	t_own	DownloadPart	NotAMerge	default	20260925_2_2_0	30000	2699066	40	0	0	0	0	0	0
2026-09-25 22:26:16.811056	r2	t_zc	DownloadPart	NotAMerge	default	20260925_3_3_0	30000	2700591	56	0	0	0	0	0	0
2026-09-25 22:26:17.122343	r2	t_own	DownloadPart	NotAMerge	default	20260925_3_3_0	30000	2699766	26	0	0	0	0	0	0
2026-09-25 22:26:17.215612	r2	t_own	MovePart	NotAMerge	s3_own	20260925_1_1_0	30000	2697695	528	0	0	19	0	0	0
2026-09-25 22:26:17.227317	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_0_0_0	30000	2698195	697	0	0	19	0	0	0
2026-09-25 22:26:17.253096	r2	t_zc	MovePart	NotAMerge		20260925_1_1_0	0	0	25	0	0	0	0	0	0
2026-09-25 22:26:17.324708	r2	t_zc	DownloadPart	NotAMerge	default	20260925_4_4_0	30000	2698479	42	0	0	0	0	0	0
2026-09-25 22:26:17.502514	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_2_2_0	30000	2698139	244	0	0	19	0	0	0
2026-09-25 22:26:17.535507	r2	t_own	MovePart	NotAMerge	s3_own	20260925_0_0_0	30000	2698619	319	0	0	19	0	0	0
2026-09-25 22:26:17.606365	r2	t_own	DownloadPart	NotAMerge	default	20260925_4_4_0	30000	2698791	74	0	0	0	0	0	0
2026-09-25 22:26:17.767126	r2	t_zc	DownloadPart	NotAMerge	default	20260925_5_5_0	30000	2699744	64	0	0	0	0	0	0
2026-09-25 22:26:17.856673	r2	t_own	MovePart	NotAMerge	s3_own	20260925_2_2_0	30000	2699066	321	0	0	19	0	0	0
2026-09-25 22:26:17.870118	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_1_1_0	30000	2698400	367	0	0	19	0	0	0
2026-09-25 22:26:17.963849	r2	t_own	DownloadPart	NotAMerge	default	20260925_5_5_0	30000	2699844	49	0	0	0	0	0	0
2026-09-25 22:26:18.104144	r2	t_own	MovePart	NotAMerge	s3_own	20260925_4_4_0	30000	2698791	245	0	0	19	0	0	0
2026-09-25 22:26:18.128914	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_3_3_0	30000	2700591	258	0	0	19	0	0	0
2026-09-25 22:26:18.213200	r2	t_zc	DownloadPart	NotAMerge	default	20260925_6_6_0	30000	2698393	59	0	0	0	0	0	0
2026-09-25 22:26:18.336826	r2	t_own	MovePart	NotAMerge	s3_own	20260925_3_3_0	30000	2699766	232	0	0	19	0	0	0
2026-09-25 22:26:18.392554	r2	t_own	DownloadPart	NotAMerge	default	20260925_6_6_0	30000	2700795	76	0	0	0	0	0	0
2026-09-25 22:26:18.493152	r2	t_zc	DownloadPart	NotAMerge	default	20260925_7_7_0	30000	2699162	27	0	0	0	0	0	0
2026-09-25 22:26:18.660181	r2	t_own	DownloadPart	NotAMerge	default	20260925_7_7_0	30000	2699154	55	0	0	0	0	0	0
2026-09-25 22:26:18.718785	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_6_6_0	30000	2698393	161	0	0	19	0	0	0
2026-09-25 22:26:18.849813	r2	t_zc	DownloadPart	NotAMerge	default	20260925_8_8_0	30000	2697019	81	0	0	0	0	0	0
2026-09-25 22:26:18.989535	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_7_7_0	30000	2699162	270	0	0	19	0	0	0
2026-09-25 22:26:19.165321	r2	t_zc	DownloadPart	NotAMerge	default	20260925_9_9_0	30000	2699369	64	0	0	0	0	0	0
2026-09-25 22:26:19.179872	r2	t_own	DownloadPart	NotAMerge	default	20260925_8_8_0	30000	2698459	203	0	0	0	0	0	0
2026-09-25 22:26:19.307329	r2	t_own	MovePart	NotAMerge	s3_own	20260925_7_7_0	30000	2699154	510	0	0	19	0	0	0
2026-09-25 22:26:19.536827	r2	t_own	MovePart	NotAMerge	s3_own	20260925_6_6_0	30000	2700795	229	0	0	19	0	0	0
2026-09-25 22:26:19.663701	r2	t_own	DownloadPart	NotAMerge	default	20260925_9_9_0	30000	2698488	34	0	0	0	0	0	0
2026-09-25 22:26:19.690171	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_8_8_0	30000	2697019	696	0	0	19	0	0	0
2026-09-25 22:26:19.710508	r2	t_own	MovePart	NotAMerge	s3_own	20260925_8_8_0	30000	2698459	171	0	0	19	0	0	0
2026-09-25 22:26:19.945006	r2	t_own	MovePart	NotAMerge	s3_own	20260925_9_9_0	30000	2698488	232	0	0	19	0	0	0
2026-09-25 22:26:20.059784	r2	t_zc	MovePart	NotAMerge	s3_zc	20260925_9_9_0	30000	2699369	363	0	0	19	0	0	0
2026-09-25 22:36:54.366318	r2	t_own	MergePartsStart	RegularMerge		20260925_0_5_1	0	0	0	0	0	0	0	0	0
2026-09-25 22:36:56.768770	r2	t_own	MergeParts	RegularMerge	s3_own	20260925_0_5_1	180000	15565985	2403	1208131	0	425	0	15574066	0
2026-09-25 22:36:57.247500	r2	t_zc	DownloadPart	NotAMerge	s3_zc	20260925_0_5_1	180000	15559823	103	0	0	19	0	0	0
2026-09-25 22:36:59.605472	r2	t_zc	DownloadPart	NotAMerge	s3_zc	20260925_0_9_2	300000	25731640	122	0	0	19	0	0	0
2026-09-25 22:36:59.645082	r2	t_own	MergePartsStart	RegularMerge		20260925_0_9_2	0	0	0	0	0	0	0	0	0
2026-09-25 22:37:02.156003	r2	t_own	MergeParts	RegularMerge	s3_own	20260925_0_9_2	300000	25748613	2511	1303556	0	386	0	25756702	0
2026-09-25 22:37:06.653079	r2	t_own	RemovePart	NotAMerge		20260925_0_0_0	30000	2698619	0	0	0	0	0	0	0
2026-09-25 22:37:06.653079	r2	t_own	RemovePart	NotAMerge		20260925_1_1_0	30000	2697695	0	0	0	0	0	0	0
2026-09-25 22:37:06.653079	r2	t_own	RemovePart	NotAMerge		20260925_2_2_0	30000	2699066	0	0	0	0	0	0	0
2026-09-25 22:37:06.653079	r2	t_own	RemovePart	NotAMerge		20260925_3_3_0	30000	2699766	0	0	0	0	0	0	0
2026-09-25 22:37:06.653079	r2	t_own	RemovePart	NotAMerge		20260925_4_4_0	30000	2698791	0	0	0	0	0	0	0
2026-09-25 22:37:06.653079	r2	t_own	RemovePart	NotAMerge		20260925_5_5_0	30000	2699844	0	0	0	0	0	0	0
