[metrics-10k] t=121s inserts=1271 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 4} db=110MB free=4.38GB mergeCPU=103.8s
[metrics-10k] t=126s inserts=1323 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 3, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 7} db=118MB free=4.32GB mergeCPU=108.0s
[metrics-10k] t=131s inserts=1376 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 9} db=120MB free=4.43GB mergeCPU=112.6s
[metrics-10k] t=136s inserts=1428 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 5} db=118MB free=4.37GB mergeCPU=117.9s
[metrics-10k] t=141s inserts=1483 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 8} db=123MB free=4.31GB mergeCPU=121.4s
[metrics-10k] t=146s inserts=1537 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 11} db=128MB free=4.26GB mergeCPU=126.5s
[metrics-10k] t=151s inserts=1590 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 15, 'otel_metrics_number_points': 9} db=137MB free=4.30GB mergeCPU=131.3s
[metrics-10k] t=156s inserts=1642 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 8} db=130MB free=4.23GB mergeCPU=136.4s
[metrics-10k] t=161s inserts=1695 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 11} db=139MB free=4.18GB mergeCPU=139.7s
[metrics-10k] t=166s inserts=1749 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 14} db=139MB free=4.12GB mergeCPU=144.8s
[metrics-10k] t=171s inserts=1802 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 6} db=146MB free=4.19GB mergeCPU=147.6s
[metrics-10k] t=176s inserts=1855 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 4, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 8} db=150MB free=4.13GB mergeCPU=152.6s
[metrics-10k] t=181s inserts=1907 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 11} db=148MB free=4.25GB mergeCPU=157.5s
[metrics-10k] t=186s inserts=1960 err=0 parts={'otel_metrics_series': 8, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 9} db=155MB free=4.21GB mergeCPU=160.9s
[metrics-10k] t=191s inserts=2012 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 7} db=161MB free=4.34GB mergeCPU=166.1s
[metrics-10k] t=197s inserts=2066 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 9} db=162MB free=4.29GB mergeCPU=170.0s
[metrics-10k] t=202s inserts=2119 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 7} db=168MB free=4.36GB mergeCPU=174.6s
