otel_metrics_histogram	Sum	6.835	1.2
otel_metrics_histogram	Attributes	2.051	30.3
otel_metrics_histogram	Count	1.455	5.5
otel_metrics_histogram	ExplicitBounds	0.292	407.6
otel_metrics_histogram	ScopeName	0.282	217.4
otel_metrics_histogram	MetricDescription	0.281	156.2
otel_metrics_histogram	Exemplars.TraceId	0.273	2.5
otel_metrics_histogram	ResourceSchemaUrl	0.27	174.3
otel_metrics_histogram	MetricUnit	0.267	34.4
otel_metrics_histogram	ScopeVersion	0.258	54.3
otel_metrics_histogram	Max	0.204	39.3
otel_metrics_histogram	Min	0.203	39.4
otel_metrics_histogram	Exemplars.SpanId	0.139	2.9
otel_metrics_histogram	received_at	0.13	61.7
otel_metrics_histogram	Exemplars.Value	0.126	1.1
otel_metrics_histogram	batch_id	0.114	70.3
otel_metrics_histogram	Exemplars.TimeUnix	0.068	118.9
otel_metrics_histogram	row_ordinal	0.047	85.4
otel_metrics_histogram	TimeUnix	0.031	129.7
otel_metrics_histogram	Exemplars.FilteredAttributes	0.026	314.1
otel_metrics_histogram	StartTimeUnix	0.021	187.3
otel_metrics_histogram	ScopeAttributes	0.003	2427.3
otel_metrics_histogram	producer_epoch	0.003	313.9
otel_metrics_histogram	producer_id	0.003	313.9
otel_metrics_histogram	MetricName	0.002	512.9
otel_metrics_histogram	ServiceName	0.002	522
otel_metrics_histogram	AggregationTemporality	0.002	1758.5
otel_metrics_histogram	schema_version	0.001	1541.8
otel_metrics_histogram	ScopeDroppedAttrCount	0	5
otel_metrics_histogram	ScopeSchemaUrl	0	5
otel_metrics_histogram	Flags	0	5
otel_metrics_histogram_points	Sum	6.063	1.3
otel_metrics_histogram_points	BucketCounts	5.924	21.4
otel_metrics_histogram_points	Count	0.828	9.7
otel_metrics_histogram_points	Exemplars.TraceId	0.273	2.5
otel_metrics_histogram_points	Exemplars.SpanId	0.139	2.9
otel_metrics_histogram_points	Exemplars.Value	0.126	1.1
otel_metrics_histogram_points	Max	0.104	77.1
otel_metrics_histogram_points	Min	0.103	77.3
otel_metrics_histogram_points	Exemplars.TimeUnix	0.072	112
otel_metrics_histogram_points	TimeUnix	0.056	71.8
otel_metrics_histogram_points	batch_id	0.053	151.1
otel_metrics_histogram_points	series_id	0.023	346.4
otel_metrics_histogram_points	received_at	0.018	433.2
otel_metrics_histogram_points	StartTimeUnix	0.014	288.8
otel_metrics_histogram_points	row_ordinal	0.01	382.8
otel_metrics_histogram_points	ServiceName	0.001	851.3
otel_metrics_histogram_points	MetricName	0.001	947.3
otel_metrics_histogram_points	producer_epoch	0.001	947.1
otel_metrics_histogram_points	producer_id	0.001	947.2
otel_metrics_histogram_points	schema_version	0.001	1553.7
otel_metrics_histogram_points	Flags	0	25.4
otel_metrics_series	ResourceAttributes	25.263	19.7
otel_metrics_series	series_id	8.035	1
otel_metrics_series	Attributes	3.743	12.8
otel_metrics_series	FirstSeen	0.986	4.1
otel_metrics_series	LastSeen	0.957	4.2
otel_metrics_series	MetricDescription	0.452	82.6
otel_metrics_series	ExplicitBounds	0.071	364.7
otel_metrics_series	ServiceName	0.025	40
otel_metrics_series	MetricName	0.008	125.6
otel_metrics_series	MetricType	0.006	180.2
otel_metrics_series	MetricUnit	0.006	171.4
otel_metrics_series	ScopeAttributes	0.006	1338.9
otel_metrics_series	ScopeName	0.004	270.2
otel_metrics_series	ScopeSchemaUrl	0.004	258.8
otel_metrics_series	AggregationTemporality	0.004	1027.8
otel_metrics_series	ScopeVersion	0.003	341.5
otel_metrics_series	ResourceSchemaUrl	0.002	556.8
otel_metrics_series	ScopeDroppedAttrCount	0.001	17.1
otel_metrics_series	IsMonotonic	0.001	736.2
otel_metrics_sum	ResourceAttributes	15.078	33
otel_metrics_sum	Value	1.776	4.5
otel_metrics_sum	Attributes	1.768	31
otel_metrics_sum	MetricDescription	0.279	132.8
otel_metrics_sum	ScopeName	0.274	150.8
otel_metrics_sum	ResourceSchemaUrl	0.272	172.5
otel_metrics_sum	MetricUnit	0.269	59.4
otel_metrics_sum	ScopeVersion	0.262	51.6
otel_metrics_sum	received_at	0.136	58.9
otel_metrics_sum	batch_id	0.12	66.8
otel_metrics_sum	row_ordinal	0.05	80.2
otel_metrics_sum	TimeUnix	0.033	122.6
otel_metrics_sum	StartTimeUnix	0.023	174.7
otel_metrics_sum	ScopeAttributes	0.004	1965.2
otel_metrics_sum	Exemplars.FilteredAttributes	0.004	1965.2
